NAME,DATE
"PLMMA 51 - Kalisz","Mar / 14 / 2015"
"FA 10 - Fighters Arena 10","Nov / 22 / 2014"
"MMAC - MMA Challengers 9","Feb / 22 / 2014"
"PMMAF - Polish MMA Championships Finals","Nov / 05 / 2011"
"UFC Fight Night 136 - Hunt vs. Oleynik","Sep / 15 / 2018"
"M-1 Challenge 62 - Buchinger vs. Barnaoui","Oct / 10 / 2015"
"M-1 Challenge 58 - Battle in the Mountains 4","Jun / 06 / 2015"
"OFS - Octagon Fighting Sensation 4","May / 16 / 2015"
"M-1 Challenge 57 - Battle in the Heart of the Continent","May / 02 / 2015"
"ProFC 57 - New Era","Mar / 29 / 2015"
"OFS - Octagon Fighting Sensation 3","Feb / 28 / 2015"
"Fight Star - Battle on Sura 3","Feb / 22 / 2015"
"RFP - Ascending Star 1","Dec / 30 / 2014"
"League S-70 - Plotforma 7th","Aug / 21 / 2016"
"UFC 166 - Velasquez vs. Dos Santos 3","Oct / 19 / 2013"
"UFC on Fuel TV 9 - Mousasi vs. Latifi","Apr / 06 / 2013"
"Strikeforce - Rousey vs. Kaufman","Aug / 18 / 2012"
"Strikeforce - Rockhold vs. Jardine","Jan / 07 / 2012"
"Strikeforce - Challengers 20","Nov / 18 / 2011"
"Strikeforce - Challengers 17","Jul / 22 / 2011"
"Draka - Governor's Cup 2010","Dec / 18 / 2010"
"ProFC - Union Nation Cup 8","Oct / 01 / 2010"
"APF - Azerbaijan vs. Europe","May / 22 / 2010"
"ProFC - Commonwealth Cup","Apr / 23 / 2010"
"ProFC - Union Nation Cup 5","Feb / 13 / 2010"
"ProFC - Union Nation Cup 4","Dec / 19 / 2009"
"ProFC - Union Nation Cup 2","Sep / 25 / 2009"
"ProFC - President Cup","Oct / 25 / 2008"
"Perm Regional MMA Federation - MMA Professional Cup","Apr / 25 / 2008"
"Perm Regional MMA Federation - MMA Professional Cup","Nov / 23 / 2007"
"UFC Fight Night 151 - Iaquinta vs. Cowboy","May / 04 / 2019"
"UFC 217 - Bisping vs. St. Pierre","Nov / 04 / 2017"
"UFC Fight Night 105 - Lewis vs. Browne","Feb / 19 / 2017"
"Prestige FC 2 - Queen City Coronation","Mar / 12 / 2016"
"Hybrid Combat - Hybrid Pro Series 4","Oct / 17 / 2015"
"RMMA - Rivals MMA 1","Mar / 13 / 2015"
"Hybrid Combat - Hybrid Pro Series 2","Nov / 15 / 2014"
"MMAFN - MMA Fight Night 1","Mar / 05 / 2014"
"Slamm 1 - Garcia vs. Lamarche","Nov / 30 / 2012"
"UFC Fight Night 76 - Holohan vs. Smolka","Oct / 24 / 2015"
"UFC 186 - Johnson vs. Horiguchi","Apr / 25 / 2015"
"UFC - The Ultimate Fighter 20 Finale","Dec / 12 / 2014"
"CWFC 63 - Cage Warriors Fighting Championship 63","Dec / 31 / 2013"
"CWFC 51 - Cage Warriors Fighting Championship 51","Dec / 31 / 2012"
"Invicta FC 3 - Penne vs. Sugiyama","Oct / 06 / 2012"
"CWFC 47 - Cage Warriors Fighting Championship 47","Jun / 02 / 2012"
"NAAFS - Night of Champions 2011","Nov / 23 / 2011"
"CWFC - Fight Night 2","Sep / 08 / 2011"
"NAAFS - Fight Night in the Flats 7","Jun / 04 / 2011"
"CWFC 41 - Cage Warriors Fighting Championship 41","Apr / 24 / 2011"
"CWFC 39 - The Uprising","Nov / 27 / 2010"
"BFC - Bellator Fighting Championships 26","Aug / 26 / 2010"
"RIR - Rumble in Rush 2","Nov / 07 / 2009"
"COT 4 - Cage of Truth","Nov / 22 / 2008"
"Cage Rage 27 - Step Up","Jul / 12 / 2008"
"Cage Rage - Contenders: Ireland vs. Belgium","May / 03 / 2008"
"Cage Rage 25 - Bring It On","Mar / 08 / 2008"
"COT 1 - Battle on the Bay","Nov / 24 / 2007"
"Cage Rage - Contenders: Dynamite","Sep / 29 / 2007"
"ROT 7 - The Next Level","Jul / 28 / 2007"
"Adrenaline 1 - Feel the Rush","May / 05 / 2007"
"UFC - The Ultimate Fighter Season 20 Quarterfinals, Day 1","Aug / 05 / 2014"
"UFC - The Ultimate Fighter Season 20 Opening Round, Day 6","Jul / 25 / 2014"
"UFC 223 - Khabib vs. Iaquinta","Apr / 07 / 2018"
"UFC Fight Night 108 - Swanson vs. Lobov","Apr / 22 / 2017"
"UFC Fight Night 63 - Mendes vs. Lamas","Apr / 04 / 2015"
"UFC 183 - Silva vs. Diaz","Jan / 31 / 2015"
"UFC Fight Night 55 - Rockhold vs. Bisping","Nov / 07 / 2014"
"UFC Fight Night 50 - Jacare vs. Mousasi 2","Sep / 05 / 2014"
"UFC 173 - Barao vs. Dillashaw","May / 24 / 2014"
"UFC 169 - Barao vs. Faber 2","Feb / 01 / 2014"
"UFC Fight Night 30 - Machida vs. Munoz","Oct / 26 / 2013"
"UFC 164 - Henderson vs. Pettis 2","Aug / 31 / 2013"
"UFC - The Ultimate Fighter 15 Finale","Jun / 01 / 2012"
"ROC 38 - Ring of Combat 38","Nov / 18 / 2011"
"ROC 37 - Ring of Combat 37","Sep / 09 / 2011"
"ROC 36 - Ring of Combat 36","Jun / 17 / 2011"
"ROC 27 - Ring of Combat 27","Nov / 20 / 2009"
"ROC 25 - Ring of Combat 25","Jun / 12 / 2009"
"ROC 24 - Ring of Combat 24","Apr / 17 / 2009"
"ROC 23 - Ring of Combat 23","Feb / 20 / 2009"
"UFC - The Ultimate Fighter Season 15 Semifinals","May / 25 / 2012"
"UFC - The Ultimate Fighter Season 15 Quarterfinals, Week 2","May / 18 / 2012"
"UFC - The Ultimate Fighter Season 15 Opening Round, Week 3","Mar / 30 / 2012"
"UFC - The Ultimate Fighter Season 15 Elimination Fights","Mar / 09 / 2012"
"CITC - Rumble in Rahway 5","Sep / 15 / 2007"
"NBF - New Breed Fighters 2","Feb / 17 / 2007"
"CITC - Rumble in Rahway 3","Jan / 27 / 2007"
"UFC 159 - Jones vs. Sonnen","Apr / 27 / 2013"
"UFC 155 - Dos Santos vs. Velasquez 2","Dec / 29 / 2012"
"UFC on Fox 3 - Diaz vs. Miller","May / 05 / 2012"
"UFC Fight Night 25 - Shields vs. Ellenberger","Sep / 17 / 2011"
"UFC 113 - Machida vs. Shogun 2","May / 08 / 2010"
"UFC 107 - Penn vs. Sanchez","Dec / 12 / 2009"
"UFC 100 - Lesnar vs. Mir 2","Jul / 11 / 2009"
"UFC 93 - Franklin vs. Henderson","Jan / 17 / 2009"
"UFC Fight Night 15 - Diaz vs. Neer","Sep / 17 / 2008"
"UFC 83 - Serra vs. St. Pierre 2","Apr / 19 / 2008"
"UFC 77 - Hostile Territory","Oct / 20 / 2007"
"UFC 71 - Liddell vs. Jackson","May / 26 / 2007"
"UFC 69 - Shootout","Apr / 07 / 2007"
"UFC Fight Night 7 - Sanchez vs. Riggs","Dec / 13 / 2006"
"UFC 62 - Liddell vs. Sobral","Aug / 26 / 2006"
"WEF - Orleans Arena","Jun / 10 / 2006"
"Raze MMA - Fight Night","Apr / 29 / 2006"
"WEF 17 - World Extreme Fighting 17","Apr / 01 / 2006"
"Titan FC 1 - Titan Fighting Championship 1","Mar / 11 / 2006"
"XFL - EK 19: Battle at the Brady 3","Feb / 18 / 2006"
"WEF 16 - World Extreme Fighting 16","Sep / 24 / 2005"
"WXF - X-Impact World Championships 2005","Jul / 09 / 2005"
"FFC 10 - Freestyle Fighting Championships 10","Jul / 24 / 2004"
"RCF - Duel in the Delta","Sep / 25 / 2004"
"UFC 236 - Holloway vs. Poirier","Apr / 13 / 2019"
"UFC on Fox 28 - Emmett vs. Stephens","Feb / 24 / 2018"
"UFC Fight Night 114 - Pettis vs. Moreno","Aug / 05 / 2017"
"UFC Fight Night 107 - Manuwa vs. Anderson","Mar / 18 / 2017"
"UFC on Fox 22 - VanZant vs. Waterson","Dec / 17 / 2016"
"UFC Fight Night 90 - Dos Anjos vs. Alvarez","Jul / 07 / 2016"
"UFC Fight Night 85 - Hunt vs. Mir","Mar / 19 / 2016"
"UFC 192 - Cormier vs. Gustafsson","Oct / 03 / 2015"
"UFC Fight Night 71 - Mir vs. Duffee","Jul / 15 / 2015"
"UFC 184 - Rousey vs. Zingano","Feb / 28 / 2015"
"UFC Fight Night 56 - Shogun vs. St. Preux","Nov / 08 / 2014"
"UFC Fight Night 47 - Bader vs. St. Preux","Aug / 16 / 2014"
"RFA 15 - Casey vs. Sanchez","Jun / 06 / 2014"
"RFA 14 - Manzanares vs. Maranhao","Apr / 11 / 2014"
"RFA 10 - Rhodes vs. Jouban","Oct / 25 / 2013"
"RFA 9 - Munhoz vs. Curran","Aug / 16 / 2013"
"Fight Club OC - Rumble on the Range","May / 16 / 2013"
"USA MMA - Stacked 2","Jun / 16 / 2012"
"National Fight Alliance - Valley Invasion 2","Apr / 06 / 2012"
"SF 20 - Shark Fights 20","Oct / 15 / 2011"
"SF 17 - Horwich vs. Rosholt 2","Jul / 15 / 2011"
"TPF 9 - The Contenders","May / 06 / 2011"
"TPF 8 - All or Nothing","Feb / 18 / 2011"
"Tuff-N-Uff - Future Stars of MMA","May / 28 / 2010"
"Tuff-N-Uff - Future Stars of MMA","Mar / 26 / 2010"
"UFC 229 - Nurmagomedov vs. McGregor","Oct / 06 / 2018"
"UFC Fight Night 125 - Machida vs. Anders","Feb / 03 / 2018"
"UFC Fight Night 95 - Cyborg vs. Lansberg","Sep / 24 / 2016"
"UFC Fight Night 69 - Jedrzejczyk vs. Penne","Jun / 20 / 2015"
"UFC Fight Night 29 - Maia vs. Shields","Oct / 09 / 2013"
"BC - Bitetti Combat 15","May / 11 / 2013"
"BC - Bitetti Combat 14","Mar / 09 / 2013"
"JF - Jungle Fight 49","Feb / 22 / 2013"
"Mr. Cage Championship - Mr. Cage 7","Oct / 07 / 2012"
"Mr. Cage Championship - Mr. Cage 4","Nov / 30 / 2010"
"VF 1 - Vision Fight","Dec / 20 / 2009"
"SDS - Samurai da Selva 1","Dec / 12 / 2008"
"HTJ - Qualifying","Sep / 20 / 2008"
"HTJ - Hero's the Jungle 2","Apr / 07 / 2008"
"UFC 224 - Nunes vs. Pennington","May / 12 / 2018"
"UFC Fight Night 79 - Henderson vs. Masvidal","Nov / 28 / 2015"
"UFC Fight Night 48 - Bisping vs. Le","Aug / 23 / 2014"
"Rebel FC 1 - Into the Lion's Den","Dec / 21 / 2013"
"UFG - Ultimate Fighting Greece 1","Aug / 07 / 2011"
"UCMMA 10 - Resurrection","Feb / 06 / 2010"
"UCMMA 8 - Dynamite","Oct / 24 / 2009"
"Cage Rage 28 - VIP","Sep / 20 / 2008"
"MCVT - Mahal Combat Vale Tudo","Dec / 28 / 2006"
"ZTFN 2 - ZT Fight Night 2","Jun / 25 / 2006"
"IF 3 - Intense Fighting 3","Apr / 01 / 2006"
"IC - Instigacao Combat 1","Oct / 05 / 2005"
"CFN - Cage Fight Nordeste","May / 31 / 2005"
"UFC 239 - Jones vs. Santos","Jul / 06 / 2019"
"UFC 235 - Jones vs. Smith","Mar / 02 / 2019"
"UFC Fight Night 133 - Dos Santos vs. Ivanov","Jul / 14 / 2018"
"UFC Fight Night 123 - Swanson vs. Ortega","Dec / 09 / 2017"
"UFC Fight Night 94 - Poirier vs. Johnson","Sep / 17 / 2016"
"UFC Fight Night 86 - Rothwell vs. Dos Santos","Apr / 10 / 2016"
"UFC Fight Night 78 - Magny vs. Gastelum","Nov / 21 / 2015"
"UFC 188 - Velasquez vs. Werdum","Jun / 13 / 2015"
"UFC 180 - Werdum vs. Hunt","Nov / 15 / 2014"
"JF - Jungle Fight 59","Oct / 12 / 2013"
"FCM - Fight Club Mexico 3","Aug / 02 / 2013"
"Kamikaze Fight League - Kamikaze Fight League 2","May / 29 / 2013"
"XK 14 - Xtreme Kombat 14","Jun / 23 / 2012"
"TSC 1 - The Supreme Cage 1","Mar / 10 / 2012"
"TFC - Total Fight Championship","May / 28 / 2011"
"SKC - Supreme Kombat Challenge 4","Nov / 12 / 2010"
"TC 33 - Total Combat 33","Jul / 11 / 2009"
"Black FC 5 - Black Fighting Championships 5","Mar / 19 / 2009"
"MMAX 22 - Revolution","Aug / 16 / 2008"
"Black FC 3 - Black Fighting Championships 3","May / 15 / 2008"
"MMAX 21 - MMA Xtreme 21","Apr / 19 / 2008"
"MMAX 19 - MMA Xtreme 19","Feb / 02 / 2008"
"MMAX 18 - Going Home","Jan / 26 / 2008"
"Black FC 2 - Black Fighting Championships 2","Nov / 01 / 2007"
"MMAX 11 - MMA Xtreme 11","Apr / 21 / 2007"
"MMAX 2 - MMA Xtreme 2","Apr / 23 / 2006"
"EF 7 - Espartan Fighting 7","Sep / 30 / 2005"
"GC 39 - Titans Collide","Jul / 17 / 2005"
"UFC - The Ultimate Fighter: Latin America Season 1 Semifinals, Day 1","Jun / 18 / 2014"
"UFC - The Ultimate Fighter: Latin America Season 1 Quarterfinals, Day 3","May / 27 / 2014"
"UFC Fight Night 153 - Gustafsson vs. Smith","Jun / 01 / 2019"
"UFC 231 - Holloway vs. Ortega","Dec / 08 / 2018"
"AFC - Austrian Fight Challenge 5","Mar / 04 / 2017"
"AFC - Austrian Fight Challenge 1","Jun / 20 / 2015"
"FFC - Final Fight Championship 16","Dec / 06 / 2014"
"HG - Heimgala 2","Sep / 13 / 2014"
"Vendetta - Rookies 2","Jul / 06 / 2013"
"WFC - Challengers 3","Jun / 03 / 2012"
"Iron Fist - Vendetta 3","Mar / 18 / 2012"
"FFA - New Talents 15","Feb / 04 / 2012"
"RTC - Rock the Cage 2","Oct / 15 / 2011"
"UFC Fight Night 149 - Overeem vs. Oleynik","Apr / 20 / 2019"
"Bellator 211 - Sakara vs. Kauppinen","Dec / 01 / 2018"
"Bellator 203 - Pitbull vs. Weichel 2","Jul / 14 / 2018"
"Magnum FC 4 - Magnum Fighting Championship 4","Mar / 03 / 2018"
"Cage Warrior 3 - Knockout in the Cage Selection","Mar / 14 / 2015"
"Slam FC 7 - Nemesis","Jan / 05 / 2015"
"MITC - Milano in the Cage 4","May / 03 / 2014"
"MITC - Milano in the Cage 3","May / 04 / 2013"
"FIKBMS - Memorial Fabio Arbeia 7","Nov / 25 / 2012"
"UFC Fight Night 154 - Moicano vs. The Korean Zombie","Jun / 22 / 2019"
"UFC - The Ultimate Fighter 27 Finale","Jul / 06 / 2018"
"UFC on Fox 26 - Lawler vs. dos Anjos","Dec / 16 / 2017"
"UFC on Fox 23 - Shevchenko vs. Pena","Jan / 28 / 2017"
"UFC on Fox 21 - Maia vs. Condit","Aug / 27 / 2016"
"FEN 9 - Go For It","Nov / 07 / 2015"
"Caveam - Bitva Roku 2015","Mar / 19 / 2015"
"PLMMA 47 - Wilanow","Jan / 30 / 2015"
"CFC - Centurion Fighting Championship","Jun / 21 / 2014"
"Storm FC 5 - Storm Fighting Championship 5","Oct / 12 / 2013"
"White Rex - Tana Delle Tigri 1","May / 31 / 2013"
"Storm FC 3 - Storm Fighting Championship 3","Mar / 23 / 2013"
"Ronin FC 2 - Ronin Fighting Championships","Feb / 24 / 2012"
"Ronin FC 1 - The Genesis","Dec / 09 / 2011"
"Tuff-N-Uff - 2014 IMMAF World Championships Finals","Jul / 05 / 2014"
"Tuff-N-Uff - 2014 IMMAF World Championships: Day 4","Jul / 03 / 2014"
"Tuff-N-Uff - 2014 IMMAF World Championships: Day 2, Cage B","Jul / 01 / 2014"
"UFC on ESPN 4 - Dos Anjos vs. Edwards","Jul / 20 / 2019"
"UFC on ESPN 1 - Ngannou vs. Velasquez","Feb / 17 / 2019"
"UFC Fight Night 122 - Bisping vs. Gastelum","Nov / 25 / 2017"
"UFC Fight Night 111 - Holm vs. Correia","Jun / 17 / 2017"
"UFC Fight Night 92 - Rodriguez vs. Caceres","Aug / 06 / 2016"
"UFC 199 - Rockhold vs. Bisping 2","Jun / 04 / 2016"
"UFC on Fox 18 - Johnson vs. Bader","Jan / 30 / 2016"
"UFC Fight Night 68 - Boetsch vs. Henderson","Jun / 06 / 2015"
"UFC Fight Night 52 - Hunt vs. Nelson","Sep / 20 / 2014"
"UFC 175 - Weidman vs. Machida","Jul / 05 / 2014"
"UFC on Fox 10 - Henderson vs. Thomson","Jan / 25 / 2014"
"UFC 165 - Jones vs. Gustafsson","Sep / 21 / 2013"
"UFC on Fuel TV 8 - Silva vs. Stann","Mar / 03 / 2013"
"UFC on Fuel TV 6 - Franklin vs. Le","Nov / 10 / 2012"
"UFC on Fuel TV 4 - Munoz vs. Weidman","Jul / 11 / 2012"
"UFC 143 - Diaz vs. Condit","Feb / 04 / 2012"
"UFC on Fox 1 - Velasquez vs. Dos Santos","Nov / 12 / 2011"
"UFC Live 5 - Hardy vs. Lytle","Aug / 14 / 2011"
"UFC Fight Night 24 - Nogueira vs. Davis","Mar / 26 / 2011"
"G-Force Fights - Bad Blood 3","Feb / 04 / 2010"
"WFC - Battle of the Bay 8","Jul / 10 / 2009"
"BOTB - Best of the Best","Jun / 12 / 2009"
"XFN - Da Matta vs. Thorne","May / 14 / 2009"
"KOTC - Hurricane","Feb / 21 / 2009"
"MFA - There Will Be Blood","Dec / 13 / 2008"
"G-Force Fights - Bad Blood 1","Nov / 06 / 2008"
"UFC - The Ultimate Fighter Season 12 Quarterfinals, Day 1","Jul / 06 / 2010"
"UFC - The Ultimate Fighter Season 12 Opening Round, Day 1","Jun / 10 / 2010"
"UFC - The Ultimate Fighter Season 12 Elimination Fights","Jun / 05 / 2010"
"UFC Fight Night 137 - Santos vs. Anders","Sep / 22 / 2018"
"UFC 191 - Johnson vs. Dodson 2","Sep / 05 / 2015"
"UFC Fight Night 65 - Miocic vs. Hunt","May / 10 / 2015"
"Invicta FC 5 - Penne vs. Waterson","Apr / 05 / 2013"
"BFW 17 - Brace Girls","Oct / 27 / 2012"
"Jewels - 18th Ring","Mar / 03 / 2012"
"Rize 6 - Defiance","Jul / 31 / 2010"
"Rize 5 - Revolution","May / 29 / 2010"
"UFC - The Ultimate Fighter Season 20 Opening Round, Day 7","Jul / 28 / 2014"
"UFC Fight Night 138 - Oezdemir vs. Smith","Oct / 27 / 2018"
"UFC Fight Night 128 - Barboza vs. Lee","Apr / 21 / 2018"
"UFC Fight Night 112 - Chiesa vs. Lee","Jun / 25 / 2017"
"UFC 207 - Nunes vs. Rousey","Dec / 30 / 2016"
"UFC Fight Night 83 - Cerrone vs. Oliveira","Feb / 21 / 2016"
"UFC 189 - Mendes vs. McGregor","Jul / 11 / 2015"
"UFC Fight Night 49 - Henderson vs. dos Anjos","Aug / 23 / 2014"
"UFC 171 - Hendricks vs. Lawler","Mar / 15 / 2014"
"UFC Fight Night 33 - Hunt vs. Bigfoot","Dec / 07 / 2013"
"Challenge MMA 2 - Think Big","Aug / 17 / 2013"
"Challenge MMA 1 - Sensations","May / 11 / 2013"
"Ringside MMA 12 - Daley vs. Fioravanti","Oct / 21 / 2011"
"Ringside MMA 10 - Cote vs. Starnes","Apr / 09 / 2011"
"Ringside MMA 9 - Payback","Nov / 13 / 2010"
"Ringside MMA 7 - No Escape","Jun / 18 / 2010"
"Ringside MMA 6 - Rage","Apr / 10 / 2010"
"Ringside MMA 5 - Triple Threat","Jan / 30 / 2010"
"MFL 1 - The Beginning","Oct / 17 / 2009"
"AFC 1 - Alianza Full Contact","Aug / 28 / 2009"
"UFC Fight Night 146 - Lewis vs. Dos Santos","Mar / 09 / 2019"
"UFC Fight Night 141 - Blaydes vs. Ngannou 2","Nov / 24 / 2018"
"UFC on Fox 30 - Alvarez vs. Poirier 2","Jul / 28 / 2018"
"UFC Fight Night 126 - Cerrone vs. Medeiros","Feb / 18 / 2018"
"UFC Fight Night 117 - St. Preux vs. Okami","Sep / 22 / 2017"
"UFC 195 - Lawler vs. Condit","Jan / 02 / 2016"
"LFC 49 - Legacy Fighting Championship 49","Dec / 04 / 2015"
"LFC 44 - Legacy Fighting Championship 44","Aug / 28 / 2015"
"LFC 42 - Legacy Fighting Championship 42","Jun / 26 / 2015"
"FF - Fury Fighting 4","Feb / 13 / 2015"
"FF - Fury Fighting 2","Oct / 24 / 2014"
"LFC 31 - Legacy Fighting Championship 31","Jun / 13 / 2014"
"TCT - Texas City Throwdown 1","Mar / 14 / 2014"
"FF - Fury Fighting 1","Nov / 01 / 2013"
"LFC 18 - Legacy Fighting Championship 18","Mar / 01 / 2013"
"LFC 10 - Legacy Fighting Championship 10","Feb / 24 / 2012"
"LFC - Legacy Fighting Championship 8","Sep / 16 / 2011"
"LFC - Legacy Fighting Championship 6","Apr / 09 / 2011"
"LFC - Legacy Fighting Championship 5","Jan / 29 / 2011"
"Triple A - Promotions","Dec / 02 / 2010"
"USACA - United States Amateur Combat Association","Sep / 18 / 2010"
"USACA - United States Amateur Combat Association","May / 14 / 2010"
"UFC Fight Night 150 - Jacare vs. Hermansson","Apr / 27 / 2019"
"UFC on Fox 25 - Weidman vs. Gastelum","Jul / 22 / 2017"
"UFC Fight Night 106 - Belfort vs. Gastelum","Mar / 11 / 2017"
"UFC Fight Night 96 - Lineker vs. Dodson","Oct / 01 / 2016"
"UFC on Fox 20 - Holm vs. Shevchenko","Jul / 23 / 2016"
"UFC Fight Night 77 - Belfort vs. Henderson 3","Nov / 07 / 2015"
"UFC Fight Night 70 - Machida vs. Romero","Jun / 27 / 2015"
"UFC Fight Night 67 - Condit vs. Alves","May / 30 / 2015"
"UFC Fight Night 62 - Maia vs. LaFlare","Mar / 21 / 2015"
"FTF 10 - Face To Face 10 - Pedra vs. Boxer","Feb / 21 / 2015"
"WOCS 38 - Watch Out Combat Show 38","Oct / 18 / 2014"
"WOCS 36 - Watch Out Combat Show 36","Jul / 18 / 2014"
"CEF - Coliseu Extreme Fight 10","May / 29 / 2014"
"BC - Bitetti Combat 19","Feb / 06 / 2014"
"WOCS - Watch Out Combat Show 27","Aug / 02 / 2013"
"Luta Contra o Crack - Fight Against Crack","Jun / 23 / 2013"
"WOCS - Watch Out Combat Show 25","Apr / 12 / 2013"
"Juiz de Fora Fight - JF Fight Evolution","Oct / 06 / 2012"
"Vicosa MMA - Vicosa Fight 2","Aug / 25 / 2012"
"BFC - Big Fights Champions","Jun / 30 / 2012"
"ATS 1 - ATS Kombat 1","May / 26 / 2012"
"EF - Ervalia Fight","Dec / 10 / 2011"
"UFC on ESPN 2 - Barboza vs. Gaethje","Mar / 30 / 2019"
"UFC - The Ultimate Fighter 28 Finale","Nov / 30 / 2018"
"UFC 227 - Dillashaw vs. Garbrandt 2","Aug / 04 / 2018"
"Dana White's Tuesday Night Contender Series - Season 1, Episode 5","Aug / 08 / 2017"
"CFFC 64 - Sayles vs. Aguilera","Mar / 25 / 2017"
"TPF 30 - Tachi Palace Fights 30","Feb / 02 / 2017"
"KOTC - Warranted Aggression","Dec / 18 / 2016"
"RFA 42 - Giagos vs. Estrazulas","Aug / 19 / 2016"
"TPF 27 - Tachi Palace Fights 27","May / 19 / 2016"
"TPF 25 - Tachi Palace Fights 25","Nov / 19 / 2015"
"TPF 24 - Summer Brawl","Aug / 06 / 2015"
"TPF 22 - Champions Collide 2","Feb / 05 / 2015"
"TPF 19 - Throwback Thursday","Jun / 19 / 2014"
"TPF 18 - Martinez vs. Culley","Feb / 06 / 2014"
"TPF 16 - The Return","Aug / 22 / 2013"
"MEZ Sports - Pandemonium 8","Mar / 23 / 2013"
