NAME,GYM,DOB,HEIGHT,WEIGHT
"ASHLEE EVANS-SMITH","Reign MMA","1987-07-09","5'8'","136 LBS"
"ASHLEY YODER","Team Quest","1987-10-20","5'7'","115 LBS"
"ASKAR ASKAROV","Fighting Eagle","1992-10-09","5'5'","125 LBS"
"ASPEN LADD","MMAGOLD Fight Team","1995-03-01","5'6'","135 LBS"
"AUGUSTO SAKAI","Gile Ribeiro Team / Noguchi Team","1991-05-19","6'4'","265 LBS"
"AUSTIN ARNETT","Sikjitsu","1991-10-22","6'0'","145 LBS"
"AUSTIN HUBBARD","Elevation Fight Team","1991-12-22","5'10'","155 LBS"
"BARTOSZ FABINSKI","Berkut WCA Fight Team","1986-04-26","6'0'","170 LBS"
"BEA MALECKI","","1991-08-23","5'11'","145 LBS"
"BELAL MUHAMMAD","Roufusport","1988-07-09","5'10'","170 LBS"
"BEN ASKREN","Roufusport / Evolve MMA","1984-07-18","5'10'","170 LBS"
"BEN NGUYEN","Integrated MMA","1988-08-03","5'5'","125 LBS"
"BEN ROTHWELL","Rothwell MMA / LCCT","1981-10-17","6'4'","263 LBS"
"BEN SAUNDERS","American Top Team Orlando","1983-04-13","6'3'","170 LBS"
"BENEIL DARIUSH","Kings MMA","1989-05-06","5'10'","155 LBS"
"BENITO LOPEZ","Team Alpha Male","1994-04-06","5'10'","135 LBS"
"BETHE CORREIA","CM System","1983-06-22","5'4'","135 LBS"
"BEVON LEWIS","Jackson-Wink MMA","1991-05-05","6'3'","185 LBS"
"BJ PENN","BJ Penn's MMA","1978-12-13","5'9'","145 LBS"
"BLAGOY IVANOV","SK Absolute Bulgaria","1986-10-09","5'11'","251 LBS"
"BOBBY GREEN","Pinnacle Fighting Systems","1986-09-09","5'10'","155 LBS"
"BOBBY MOFFETT","MMA Lab","1990-06-01","5'10'","145 LBS"
"BOSTON SALMON","PHD Athletics / Xtreme Couture","1990-11-20","5'9'","135 LBS"
"BRAD KATONA","SBG Ireland","1991-12-19","5'6'","135 LBS"
"BRAD PICKETT","American Top Team / Team Titan","1978-09-24","5'6'","125 LBS"
"BRADLEY SCOTT","Dragons Lair MMA / MMA Lab","1989-06-22","6'1'","170 LBS"
"BRANDON DAVIS","Alan Belcher MMA Club","1990-05-08","5'10'","145 LBS"
"BRANDON MORENO","Entram Gym","1993-12-07","5'7'","125 LBS"
"BRENDAN SCHAUB","Reign MMA","1983-03-18","6'4'","238 LBS"
"BRIAN KELLEHER","Maxum BJJ","1986-08-19","5'6'","135 LBS"
"BRIAN ORTEGA","Black House / Black Belt Surfing Team","1991-02-21","5'9'","145 LBS"
"BRIANNA VAN BUREN","American Kickboxing Academy","1993-08-04","4'11'","116 LBS"
"BROCK LESNAR","Team Death Clutch","1977-07-12","6'3'","264 LBS"
"BROK WEAVER","","1991-12-05","6'0'","155 LBS"
"BRYAN BARBERENA","MMA Lab","1989-05-03","6'0'","155 LBS"
"BRYAN CARAWAY","Xtreme Couture","1984-08-04","5'9'","135 LBS"
"BRYCE MITCHELL","Barata MMA","1994-10-04","5'9'","145 LBS"
"C B DOLLAWAY","Power MMA Team","1983-08-10","6'2'","185 LBS"
"CAIN VELASQUEZ","American Kickboxing Academy","1982-07-28","6'1'","241 LBS"
"CALLAN POTTER","Renegade MMA","1984-09-06","6'1'","155 LBS"
"CALVIN KATTAR","Carlos Neto BJJ / Team Sityodtong","1988-03-26","5'11'","145 LBS"
"CARLA ESPARZA","Team Oyama","1987-10-10","5'1'","115 LBS"
"CARLO PEDERSOLI","Gloria Fight Center","1993-06-08","5'11'","170 LBS"
"CARLOS CONDIT","Jackson-Wink MMA","1984-04-26","6'1'","170 LBS"
"CARLOS HUACHIN","PMAC (Pitbull Martial Arts Center)","1996-06-06","5'7'","135 LBS"
"CASEY KENNEY","Rise Combat Sports","1991-03-20","5'7'","135 LBS"
"CAT ZINGANO","Zingano Brazilian Jiu-Jitsu","1982-07-01","5'6'","135 LBS"
"CEZAR FERREIRA","MMA Masters","1985-02-15","6'1'","185 LBS"
"CHAD LAPRISE","Adrenaline Training Center","1986-07-23","5'10'","159 LBS"
"CHAD MENDES","Team Alpha Male","1985-05-01","5'6'","145 LBS"
"CHAN SUNG JUNG","Korean Zombie MMA","1987-03-17","5'9'","145 LBS"
"CHANCE RENCOUNTRE","Alliance MMA","1986-12-31","6'2'","170 LBS"
"CHANMI JEON","Kukje Gym / Ryeong Promotion","1997-08-28","5'5'","115 LBS"
"CHARLES BYRD","Fortis MMA","1983-10-11","5'10'","185 LBS"
"CHARLES OLIVEIRA","Chute Boxe Diego Lima / Gold Team","1989-10-17","5'10'","155 LBS"
"CHARLES ROSA","American Top Team","1986-08-24","5'10'","145 LBS"
"CHAS SKELLY","Hard Knocks 365","1985-05-11","5'11'","145 LBS"
"CHASE SHERMAN","Jackson-Wink MMA","1989-11-06","6'4'","247 LBS"
"CHRIS DE LA ROCHA","Forge Combat Academy","1979-05-15","6'3'","243 LBS"
"CHRIS FISHGOLD","Next Generation UK","1992-06-06","5'8'","145 LBS"
"CHRIS GRUETZEMACHER","2 Knuckle Sports MMA Academy","1986-06-16","5'8'","155 LBS"
"CHRIS GUTIERREZ","Factory X","1991-04-22","5'8'","135 LBS"
"CHRIS HOLDSWORTH","Team Alpha Male","1987-10-24","5'11'","135 LBS"
"CHRIS WEIDMAN","Serra-Longo Fight Team","1984-06-17","6'2'","185 LBS"
"CHRISTOS GIAGOS","Black House","1990-01-23","5'10'","155 LBS"
"CIRYL GANE","MMA Factory Paris","1990-05-06","6'5'","265 LBS"
"CLAUDIA GADELHA","Luttrell-Yee MMA / Jackson-Wink MMA","1988-12-07","5'3'","115 LBS"
"CLAUDIO PUELLES","Pitbull Martial Arts Center","1996-04-21","5'11'","145 LBS"
"CLAUDIO SILVA","Club Barbarian","","","198 LBS"
"CLAY COLLARD","The Pit Elevated Fight Team","1993-03-10","5'11'","155 LBS"
"CLAY GUIDA","Team Alpha Male","1981-12-08","5'7'","155 LBS"
"CM PUNK","Roufusport","1978-10-26","6'2'","170 LBS"
"CODY GARBRANDT","Team Alpha Male","1991-07-07","5'7'","135 LBS"
"CODY STAMANN","Michigan Top Team","1989-11-09","5'7'","135 LBS"
"COLBY COVINGTON","American Top Team","1988-02-22","5'11'","169 LBS"
"COLE SMITH","Team Quest Thailand","1989-04-05","5'11'","135 LBS"
"COLE WILLIAMS","","1983-12-15","6'0'","170 LBS"
"CONOR MCGREGOR","SBG Ireland","1988-07-14","5'8'","155 LBS"
"COREY ANDERSON","The Kennel Fight Club","1989-09-22","6'3'","205 LBS"
"CORTNEY CASEY","MMA Lab","1987-05-05","5'6'","115 LBS"
"CORY SANDHAGEN","Elevation Fight Team","1992-04-20","5'11'","145 LBS"
"COSTAS PHILIPPOU","Bellmore Kickboxing Academy","1979-11-29","5'11'","185 LBS"
"COURT MCGEE","Factory X","1984-12-12","5'11'","170 LBS"
"CRAIG WHITE","Team Lionheart","1990-07-01","6'2'","170 LBS"
"CRIS CYBORG","Chute Boxe / The Arena","1985-07-09","5'8'","145 LBS"
"CUB SWANSON","","1983-11-02","5'8'","145 LBS"
"CURTIS BLAYDES","Elevation Fight Team","1991-02-18","6'4'","255 LBS"
"CURTIS MILLENDER","CSW","1987-12-01","6'3'","170 LBS"
"CYNTHIA CALVILLO","Team Alpha Male","1987-07-13","5'4'","118 LBS"
"CYRIL ASKER","Bushido Academie","1985-12-24","6'0'","244 LBS"
"DA UN JUNG","Korean Top Team","1988-02-11","6'3'","205 LBS"
"DALCHA LUNGIAMBULA","Dragon Power","1985-07-31","5'10'","203 LBS"
"DAMIR HADZOVIC","Arte Suave Copenhagen","1986-08-08","5'11'","155 LBS"
"DAMIR ISMAGULOV","New Stream / Storm Fight Team / Boets MMA","1991-02-03","5'10'","155 LBS"
"DAN HENDERSON","Team Quest","1970-08-24","6'1'","185 LBS"
"DAN HOOKER","City Kickboxing","1990-02-13","6'0'","155 LBS"
"DAN IGE","Xtreme Couture","1991-08-06","5'7'","145 LBS"
"DAN MORET","Minnesota Martial Arts Academy / MMA Lab","1986-11-21","6'0'","155 LBS"
"DANAA BATGEREL","Team Tungaa","1989-07-04","5'8'","145 LBS"
"DANIEL CORMIER","American Kickboxing Academy","1979-03-20","5'11'","251 LBS"
"DANIEL SPITZ","Sikjitsu","1990-07-31","6'7'","240 LBS"
"DANIEL TEYMUR","Allstars Training Center","1988-02-03","5'5'","145 LBS"
"DANILO BELLUARDO","Thunder Gym Milano","1994-07-21","5'11'","155 LBS"
"DANNY HENRY","Higher Level Martial Arts","","5'11'","155 LBS"
"DANNY ROBERTS","Team McHale","1987-07-14","6'1'","170 LBS"
"DARKO STOSIC","MMA Red Star","1992-02-09","6'0'","205 LBS"
"DARRELL HORCHER","Unrivaled Athletics","1987-07-28","5'10'","154 LBS"
"DARREN ELKINS","Duneland Vale Tudo","1984-05-16","5'10'","145 LBS"
"DARREN STEWART","The MMA Clinic","1990-12-30","6'0'","185 LBS"
"DARREN TILL","Astra Fight Team / Team Kaobon","1992-12-24","6'0'","170 LBS"
"DAVEY GRANT","North East Top Team / SBG Manchester","1985-12-18","5'8'","135 LBS"
"DAVI RAMOS","Team Nogueira","1986-11-05","5'8'","155 LBS"
"DAVID BRANCH","Renzo Gracie Jiu-Jitsu","1981-09-26","6'1'","185 LBS"
"DAVID TEYMUR","Allstars Training Center","1989-05-01","5'9'","155 LBS"
"DAVID ZAWADA","UFD Gym","1990-08-01","6'0'","170 LBS"
"DEIVESON FIGUEIREDO","Marajo Brothers Team","1987-12-18","5'5'","125 LBS"
"DEMIAN MAIA","Demian Maia Jiu-Jitsu","1977-11-06","6'0'","170 LBS"
"DENNIS BERMUDEZ","Long Island MMA","1986-12-13","5'6'","145 LBS"
"DEQUAN TOWNSEND","Murcielago MMA","1986-05-11","6'3'","170 LBS"
"DEREK BRUNSON","Hard Knocks 365","1984-01-04","6'1'","186 LBS"
"DERRICK KRANTZ","Team 515","1988-01-13","5'10'","170 LBS"
"DERRICK LEWIS","Grind House Fitness","1985-02-07","6'3'","264 LBS"
"DESMOND GREEN","Hard Knocks 365","1989-10-11","5'10'","155 LBS"
"DEVIN CLARK","Jackson-Wink MMA","1988-07-26","6'0'","185 LBS"
"DEVIN POWELL","Nostos MMA","","6'0'","155 LBS"
"DEVONTE SMITH","Factory X","1993-07-30","5'9'","155 LBS"
"DHIEGO LIMA","American Top Team Atlanta","1989-01-31","6'2'","170 LBS"
"DIEGO FERREIRA","Fortis MMA","1985-01-18","5'9'","155 LBS"
"DIEGO SANCHEZ","Jackson-Wink MMA","1981-12-31","5'10'","170 LBS"
"DION STARING","Dion Staring's Gym","1978-06-09","6'1'","240 LBS"
"DMITRII SMOLIAKOV","Baltic Challenge Team","1982-08-05","6'2'","257 LBS"
"DMITRY SOSNOVSKIY","GOR MMA","1989-07-06","6'3'","240 LBS"
"DOMINGO PILARTE","BJJ Revolution Team / 4oz. Fight Club","1990-01-05","6'0'","135 LBS"
"DOMINICK REYES","Cage Combat Academy","1989-12-26","6'4'","205 LBS"
"DONALD CERRONE","BMF Ranch","1983-03-29","6'0'","170 LBS"
"DONG HYUN KIM","Busan Team M.A.D.","1981-11-17","6'2'","170 LBS"
"DONG HYUN MA","Busan Team MAD","1988-09-09","5'11'","155 LBS"
"DONGI YANG","Team Macho","1984-12-07","5'11'","185 LBS"
"DOO HO CHOI","Busan Team MAD","1991-04-10","5'9'","145 LBS"
"DOUG MARSHALL","Elite Team","1977-02-03","5'10'","185 LBS"
"DOUGLAS SILVA DE ANDRADE","Corinthians MMA / Nabruta Fight Team","1985-06-22","5'6'","135 LBS"
"DRAKKAR KLOSE","MMA Lab","1988-03-09","5'8'","155 LBS"
"DREW DOBER","Elevation Fight Team","1988-10-19","5'8'","155 LBS"
"DREW FICKETT","Team Scrub","1979-12-24","5'10'","151 LBS"
"DUDA SANTANA","Tata Fight Team","1996-10-01","5'7'","135 LBS"
"DUSTIN ORTIZ","Combat Sports Academy","1988-12-25","5'5'","125 LBS"
"DUSTIN POIRIER","American Top Team","1989-01-19","5'9'","155 LBS"
"DWIGHT GRANT","American Kickboxing Academy","1984-09-14","6'1'","170 LBS"
"ED HERMAN","Gracie Barra Portland","1980-10-02","6'2'","205 LBS"
"EDDIE ALVAREZ","Ricardo Almeida Jiu-Jitsu","1984-01-11","5'10'","155 LBS"
"EDDIE WINELAND","Duneland Vale Tudo","1984-06-26","5'8'","135 LBS"
"EDMEN SHAHBAZYAN","","1997-11-20","6'2'","185 LBS"
"EDSON BARBOZA","American Top Team","1986-01-21","5'11'","155 LBS"
"EDUARDO GARAGORRI","CT Fronteira Fight","1989-05-28","5'10'","145 LBS"
"ELIAS GARCIA","Roufusport","1992-09-13","5'5'","125 LBS"
"ELIAS THEODOROU","Kros Gym / Mecha MMA","1988-05-31","6'1'","185 LBS"
"ELIZEU DOS SANTOS","CM System","1986-11-12","5'11'","170 LBS"
"EMIL MEEK","Xtreme Couture","1988-08-20","5'11'","170 LBS"
"EMILY WHITMIRE","Xtreme Couture","1991-05-24","5'5'","115 LBS"
"ENRIQUE BARZOLA","Pitbull Martial Arts Center","1989-04-25","5'7'","145 LBS"
"ERIC SHELTON","American Top Team","1991-02-02","5'6'","125 LBS"
"ERIC SPICELY","Syndicate MMA","1986-09-29","6'1'","185 LBS"
"ERIK KOCH","Roufusport","1988-10-04","5'10'","155 LBS"
"ERYK ANDERS","Spartan Fitness","1987-04-21","6'1'","185 LBS"
"EVAN DUNHAM","Xtreme Couture","1981-12-18","5'10'","155 LBS"
"FARES ZIAM","Team Ezbiri / Team Icon / Bulgarian Top Team","1997-03-21","6'0'","155 LBS"
"FELICE HERRIG","Team Curran","1984-09-18","5'4'","115 LBS"
"FELICIA SPENCER","The Jungle MMA","1990-11-29","5'6'","146 LBS"
"FELIPE COLARES","Team Nogueira","1994-03-31","5'9'","135 LBS"
"FELIPE SILVA","CM System / Pro Fight Team","1984-08-05","6'0'","155 LBS"
"FORREST GRIFFIN","Xtreme Couture / Throwdown","1979-07-01","6'3'","205 LBS"
"FRANCIS NGANNOU","MMA Factory","1986-09-05","6'4'","259 LBS"
"FRANCISCO TRINALDO","Evolucao Thai","1978-08-24","5'8'","155 LBS"
"FRANK CAMACHO","Team Oyama","1989-05-18","5'10'","169 LBS"
"FRANKIE EDGAR","Ricardo Almeida Jiu-Jitsu","1981-10-16","5'6'","145 LBS"
"FRANKIE SAENZ","Fight Ready","1980-08-12","5'6'","135 LBS"
"GABRIEL BENITEZ","American Kickboxing Academy","1988-06-15","5'8'","145 LBS"
"GABRIEL SILVA","Team Nogueira","1994-08-26","5'6'","135 LBS"
"GADZHIMURAD ANTIGULOV","American Top Team","1987-01-01","5'11'","205 LBS"
"GAVIN TUCKER","Titans MMA","1986-06-17","5'7'","145 LBS"
"GEOFF NEAL","Fortis MMA / StrKings","1990-08-28","5'11'","170 LBS"
"GEORGE SULLIVAN","Pellegrino MMA","1981-03-13","6'0'","169 LBS"
"GERALD MEERSCHAERT","Roufusport","1987-12-18","6'1'","185 LBS"
"GERALDO DE FREITAS","Nova Uniao","1991-09-30","5'9'","135 LBS"
"GERMAINE DE RANDAMIE","American Kickboxing Academy","1984-04-24","5'9'","135 LBS"
"GIACOMO LEMOS","Rangel Farias Team","1989-06-23","6'3'","255 LBS"
"GIAN VILLANTE","Bellmore Kickboxing Academy","1985-08-18","6'2'","205 LBS"
"GILBERT BURNS","Hard Knocks 365","1986-07-20","5'10'","155 LBS"
"GILBERT MELENDEZ","Skrap Pack","1982-04-12","5'9'","155 LBS"
"GILLIAN ROBERTSON","American Top Team","1995-05-17","5'5'","125 LBS"
"GINA MAZANY","Xtreme Couture","1988-08-19","5'6'","135 LBS"
"GLOVER TEIXEIRA","Teixeira MMA & Fitness","1979-10-28","6'2'","205 LBS"
"GOKHAN SAKI","Mike's Gym","1983-10-19","6'0'","205 LBS"
"GRANT DAWSON","Glory MMA & Fitness","1994-02-20","5'10'","145 LBS"
"GRAY MAYNARD","American Kickboxing Academy","1979-09-05","5'8'","145 LBS"
"GREG HARDY","American Top Team","1988-07-28","6'5'","265 LBS"
"GREGOR GILLESPIE","Bellmore Kickboxing Academy","1987-03-18","5'9'","155 LBS"
"GUIDO CANNETTI","Our Town MMA","1979-12-19","5'6'","135 LBS"
"GUNNAR NELSON","Mjolnir / SBG Ireland","1988-07-28","5'11'","170 LBS"
"HAKEEM DAWODU","Champion's Creed MMA / Mike Miles Muay Thai and Kickboxing","1991-07-02","5'8'","145 LBS"
"HANNAH CIFERS","Sommai Muay Thai","1992-06-26","5'1'","115 LBS"
"HANNAH GOLDY","UFC Gym Winter Springs","1992-05-18","5'4'","115 LBS"
"HECTOR ALDANA","Torture Athletics","1988-08-17","5'11'","170 LBS"
"HECTOR LOMBARD","UFD Gym","1978-02-02","5'9'","185 LBS"
"HECTOR SANDOVAL","Team Alpha Male","1986-07-19","5'2'","125 LBS"
"HEILI ALATENG","Burigude","1991-12-14","5'6'","125 LBS"
"HENRY CEJUDO","Fight Ready","1987-02-09","5'4'","125 LBS"
"HOLLY HOLM","Jackson-Wink MMA","1981-10-17","5'8'","145 LBS"
"HU YAOZONG","ET MMA","1995-04-07","6'3'","205 LBS"
"HUMBERTO BANDENAY","Pro Fighting Peru","1994-09-04","5'11'","145 LBS"
"HUNTER AZURE","Fight Ready","1992-03-02","5'8'","145 LBS"
"IAN HEINISCH","Factory X","1988-08-05","5'11'","185 LBS"
"ILIR LATIFI","Pancrase Gym Sweden","1983-07-28","5'8'","205 LBS"
"ION CUTELABA","Timoshkov Sport Club / CSA Moldova","1993-12-14","6'1'","205 LBS"
"IRENE ALDANA","Lobo Gym MMA","1988-03-26","5'9'","135 LBS"
"ISLAM MAKHACHEV","Eagles MMA / American Kickboxing Academy","1991-09-27","5'10'","155 LBS"
"ISMAIL NAURDIEV","Top Team Salzburg","1996-08-18","6'0'","170 LBS"
"ISRAEL ADESANYA","City Kickboxing","1989-07-22","6'4'","185 LBS"
"IURI ALCANTARA","Marajo Brothers Team","1980-08-04","5'9'","135 LBS"
"IVAN SHTYRKOV","Archangel Michael Club","1988-09-06","6'0'","237 LBS"
"J J ALDRICH","Freedom Fighters / 303 Training Center","1992-06-11","5'5'","116 LBS"
"JACK HERMANSSON","Frontline Academy","1988-06-10","6'1'","185 LBS"
"JACK MARSHMAN","Tillery Combat MMA Academy","1989-12-19","6'0'","185 LBS"
"JAIRZINHO ROZENSTRUIK","Team Bigi Boy","1988-03-17","6'2'","248 LBS"
"JAKE COLLIER","Pit MMA","1988-10-23","6'3'","205 LBS"
"JAKE ELLENBERGER","Reign MMA","1985-03-28","5'9'","170 LBS"
"JAKE MATTHEWS","Nexus","1994-08-19","5'11'","170 LBS"
"JALIN TURNER","Adrenaline Combat Sports","1995-05-18","6'3'","155 LBS"
"JAMAHAL HILL","","1991-05-19","6'4'","205 LBS"
"JAMES KRAUSE","Glory MMA and Fitness","1986-06-04","6'2'","155 LBS"
"JAMES TE HUNA","Pirtek Athletic Allstars","1981-09-29","6'1'","185 LBS"
"JAMES TERRY","Cung Le's Universal Strength Headquarters","1981-03-16","5'10'","160 LBS"
"JAMES VICK","Team Lloyd Irvin","1987-02-23","6'3'","155 LBS"
"JAN BLACHOWICZ","Berkut WCA Fight Team","1983-02-24","6'2'","205 LBS"
"JARED CANNONIER","MMA Lab","1984-03-16","6'0'","185 LBS"
"JARED GORDON","Renzo Gracie Jiu-Jitsu","1988-09-06","5'9'","155 LBS"
"JARJIS DANHO","Hammers Team","1983-10-15","6'3'","262 LBS"
"JARRED BROOKS","Mash Fight Team","1993-05-02","5'3'","125 LBS"
"JASON GONZALEZ","Millennia MMA","1990-02-28","6'2'","155 LBS"
"JASON MILLER","Team Mayhem / Reign MMA / Kings MMA","1980-12-24","6'0'","185 LBS"
"JEFF HUGHES","Strong Style Fight Team","1988-05-17","6'2'","253 LBS"
"JENNIFER MAIA","Chute Boxe","1988-10-06","5'4'","125 LBS"
"JEREMY STEPHENS","Alliance MMA","1986-05-26","5'9'","145 LBS"
"JESSE RONSON","Adrenaline Training Center","1985-12-24","5'9'","170 LBS"
"JESSE TAYLOR","Team Quest","1983-01-02","6'1'","170 LBS"
"JESSICA AGUILAR","American Top Team","1982-05-08","5'3'","115 LBS"
"JESSICA ANDRADE","Parana Vale Tudo","1991-09-25","5'2'","115 LBS"
"JESSICA EYE","Xtreme Couture","1986-07-27","5'6'","125 LBS"
"JESSICA PENNE","Alliance MMA","1983-01-30","5'5'","115 LBS"
"JESSICA-ROSE CLARK","Syndicate MMA","1987-11-28","5'5'","125 LBS"
"JESSIN AYARI","Hammers Team / Planet Eater","1992-05-31","6'0'","155 LBS"
"JESUS PINEDO","Pitbull Martial Arts Center","1996-06-22","5'10'","155 LBS"
"JI YEON KIM","Impact Gym","1989-10-18","5'7'","125 LBS"
"JIM CRUTE","Stewie's House of BJJ","1996-03-04","6'2'","205 LBS"
"JIM HETTES","Northeast Jiu-Jitsu / World Class Boxing","1987-06-09","5'9'","145 LBS"
"JIM MILLER","Miller Brothers MMA","1983-08-30","5'8'","155 LBS"
"JIMI MANUWA","Keddles Gym / Nova Forca Brazilian Jiu-Jitsu","1980-02-18","6'0'","205 LBS"
"JIMMIE RIVERA","Team Tiger Schulmann","1989-06-29","5'4'","135 LBS"
"JOANNA JEDRZEJCZYK","American Top Team","1987-08-18","5'6'","115 LBS"
"JOANNE CALDERWOOD","Tristar Gym","1986-12-23","5'6'","125 LBS"
"JOAQUIM SILVA","Evolucao Thai","1989-02-05","5'8'","155 LBS"
"JOBY SANCHEZ","Jackson-Wink MMA","1991-06-24","5'6'","135 LBS"
"JODIE ESQUIBEL","Jackson-Wink MMA","1986-05-07","5'1'","116 LBS"
"JOE ELLENBERGER","Premier Combat Center","1985-03-28","5'8'","155 LBS"
"JOE LAUZON","Lauzon MMA","1984-05-22","5'10'","155 LBS"
